pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100000,8,0,1995,BANGAR WISHWASRAO DAGDUJI,,Maharashtra,HINGOLI,GEN,IND,,354,M,14,1,FALSE,FALSE,0.26,1,0,,,,1
AEMH100001,8,0,1995,RANJANA SURADKAR BHAURAO,,Maharashtra,HINGOLI,GEN,IND,,353,F,15,1,FALSE,FALSE,0.26,39,0.03,,,,1
AEMH100002,8,0,1995,PAWAR SUMERSINGH RAJPALSINGH,,Maharashtra,HINGOLI,GEN,IND,,314,M,16,1,FALSE,FALSE,0.23,57,0.04,,,,1
AEMH100003,8,0,1995,JADHAV GOWARDHAN LALU,,Maharashtra,HINGOLI,GEN,IND,,257,M,17,1,FALSE,FALSE,0.19,143,0.11,,,,1
AEMH100004,8,0,1995,WANKHEDE SHANTABAI RAJU,,Maharashtra,HINGOLI,GEN,IND,,114,F,18,1,FALSE,FALSE,0.09,0,0,,,,1
AEMH100006,8,0,1995,BANGER PRATAP GANPATRAO,,Maharashtra,JINTUR,GEN,JD,,41314,M,2,1,FALSE,FALSE,33.99,31933,26.28,,,,1
AEMH100007,8,0,1995,MAGAR SHANKARRAO JIJARAM,,Maharashtra,JINTUR,GEN,SHS,,9381,M,3,1,FALSE,FALSE,7.72,3134,2.58,,,,1
AEMH100009,8,0,1995,THITE RAMKISHAN KASHIRAMJI,,Maharashtra,JINTUR,GEN,IND,,4915,M,5,1,FALSE,FALSE,4.04,2343,1.93,,,,1
AEMH100010,8,0,1995,DUDHGAONKAR RAUT ASHOK LIMBAJIRAO,,Maharashtra,JINTUR,GEN,IND,,2572,M,6,1,FALSE,FALSE,2.12,1062,0.87,,,,1
AEMH100011,8,0,1995,CHAWAN SHESHEKALABAI KAMALSINGH,,Maharashtra,JINTUR,GEN,BBMS,,1510,F,7,1,FALSE,FALSE,1.24,390,0.32,,,,1
AEMH100012,8,0,1995,BAKAN DASHRATH MAROTRAO,,Maharashtra,JINTUR,GEN,IND,,1120,M,8,1,FALSE,FALSE,0.92,14,0.01,,,,1
AEMH100013,8,0,1995,GAIKWAD ASHA RAJESH,,Maharashtra,JINTUR,GEN,PWP,,1106,F,9,1,FALSE,FALSE,0.91,55,0.05,,,,1
AEMH100014,8,0,1995,JADHAV GOKUL PRABHU,,Maharashtra,JINTUR,GEN,IND,,1051,M,10,1,FALSE,FALSE,0.86,188,0.15,,,,1
AEMH100015,8,0,1995,GHANSAWAD BHARAT KACHRU,,Maharashtra,JINTUR,GEN,IND,,863,M,11,1,FALSE,FALSE,0.71,346,0.28,,,,1
AEMH100016,8,0,1995,SONWANE SHAMRAO TUKARAM,,Maharashtra,JINTUR,GEN,DDP,,517,M,12,1,FALSE,FALSE,0.43,56,0.05,,,,1
AEMH100017,8,0,1995,YAHIYAKHAN M. ISHAQUE,,Maharashtra,JINTUR,GEN,IND,,461,M,13,1,FALSE,FALSE,0.38,230,0.19,,,,1
AEMH100018,8,0,1995,SIRAJUDDIN ZIYAUDDIN,,Maharashtra,JINTUR,GEN,IND,,231,M,14,1,FALSE,FALSE,0.19,76,0.06,,,,1
AEMH100019,8,0,1995,ROKDE RAMPRASAD SAHEBRAO,,Maharashtra,JINTUR,GEN,IND,,155,M,15,1,FALSE,FALSE,0.13,43,0.04,,,,1
AEMH100020,8,0,1995,WAKODE VIJAY DASHRATHRAO,,Maharashtra,JINTUR,GEN,IND,,112,M,16,1,FALSE,FALSE,0.09,4,0,,,,1
AEMH100021,8,0,1995,MANWATE KONDIBA SAKHARAM,,Maharashtra,JINTUR,GEN,IND,,108,M,17,1,FALSE,FALSE,0.09,5,0,,,,1
AEMH100022,8,0,1995,MATE ATMARAO RAKHMAJI,,Maharashtra,JINTUR,GEN,IND,,103,M,18,1,FALSE,FALSE,0.08,27,0.02,,,,1
AEMH100023,8,0,1995,SALVE VASANT BHAURAO,,Maharashtra,JINTUR,GEN,IND,,76,M,19,1,FALSE,FALSE,0.06,0,0,,,,1
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,,37437,M,1,2,FALSE,FALSE,42.83,14717,16.84,,,2,2
AEMH100024,8,0,1995,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,42598,M,1,2,FALSE,TRUE,39.21,17865,16.45,,,2,2
AEMH100026,8,0,1995,DURRANI ABDULHAKHAN LATIFKHAN,,Maharashtra,PATHRI,GEN,BBMS,,21735,M,3,1,FALSE,FALSE,20.01,10610,9.77,,,,1
AEMH100027,8,0,1995,JOSHI GOVIND VITHALRAO,,Maharashtra,PATHRI,GEN,IND,,11125,M,4,1,FALSE,FALSE,10.24,7157,6.59,,,,1
AEMH100028,8,0,1995,KSHIRSAGAR RAJAN RAMCHANDRA,,Maharashtra,PATHRI,GEN,CPM,,3968,M,5,1,FALSE,FALSE,3.65,1898,1.75,,,,1
AEMH100029,8,0,1995,KULKARNI MADHAVRAO BHAGWANRAO,,Maharashtra,PATHRI,GEN,HJP,,2070,M,6,1,FALSE,FALSE,1.91,1133,1.04,,,,1
AEMH100030,8,0,1995,THORE VISHWANATH MANOHAR,,Maharashtra,PATHRI,GEN,IND,,937,M,7,1,FALSE,FALSE,0.86,473,0.44,,,,1
AEMH100032,8,0,1995,UGHADE RAMESHWAR RADHAKISHAN,,Maharashtra,PATHRI,GEN,IND,,333,M,9,1,FALSE,FALSE,0.31,24,0.02,,,,1
AEMH100033,8,0,1995,ADAGALE SURESH YADAVRAO,,Maharashtra,PATHRI,GEN,IND,,309,M,10,1,FALSE,FALSE,0.28,33,0.03,,,,1
AEMH100034,8,0,1995,SOW. SHAMKAWAR SHANTABAI MANOHAR,,Maharashtra,PATHRI,GEN,IND,,276,F,11,1,FALSE,FALSE,0.25,190,0.17,,,,1
AEMH100035,8,0,1995,DHAPSE PIRAJI SAYAJI,,Maharashtra,PATHRI,GEN,IND,,86,M,12,1,FALSE,FALSE,0.08,0,0,,,,1
AEMH100036,8,0,1995,A. KADIR A. WAHED DESHMUKH,,Maharashtra,PARTUR,GEN,INC,,37912,M,1,1,FALSE,FALSE,31.95,122,0.1,,,1,1
AEMH100039,8,0,1995,KHANDARE RAOSAHEB MANIKRAO,,Maharashtra,PARTUR,GEN,IND,,6472,M,4,1,FALSE,FALSE,5.45,1824,1.54,,,,1
AEMH100040,8,0,1995,KALE MANIKRAO TULSHIRAM,,Maharashtra,PARTUR,GEN,BBMS,,4648,M,5,1,FALSE,FALSE,3.92,3082,2.6,,,,1
AEMH100041,8,0,1995,KAKADE PRALHADRAO PATILBUWA,,Maharashtra,PARTUR,GEN,IND,,1566,M,6,1,FALSE,FALSE,1.32,1199,1.01,,,,1
