pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH104557,7,0,1990,VISHWANATH BANDA SUPEKAR,,Maharashtra,PARANDA,GEN,IND,,241,M,8,1,FALSE,FALSE,0.23,0,0,,,,1
AEMH104560,7,0,1990,PATIL SUDHIR KESHAVRAO,,Maharashtra,OSMANABAD,GEN,SHS,,7190,M,3,1,FALSE,FALSE,6.59,6906,6.33,,,,1
AEMH104561,7,0,1990,DESHMUKH MANOHAR SHANKARRAO,,Maharashtra,OSMANABAD,GEN,IND,,284,M,4,1,FALSE,FALSE,0.26,88,0.08,,,,1
AEMH104562,7,0,1990,SOLUNKE HIRAMAN SANDU,,Maharashtra,OSMANABAD,GEN,DDP,,196,M,5,1,FALSE,FALSE,0.18,0,0,,,,1
AEMH104565,7,0,1990,PATIL CHANDRASHEKHAR KESHVRAO,,Maharashtra,AUSA,GEN,IND,,16223,M,3,1,FALSE,FALSE,17.59,5505,5.97,,,,1
AEMH104566,4,0,1978,PATIL MADHAVRAO SANTARAM,,Maharashtra,AUSA,GEN,IND,,18393,M,2,2,FALSE,FALSE,28.88,6659,10.46,,,,2
AEMH104566,7,0,1990,PATIL MADHAVRAO SANTRAM,,Maharashtra,AUSA,GEN,JD,IND,10718,M,4,2,FALSE,FALSE,11.62,9985,10.83,,,,2
AEMH104567,7,0,1990,UTAGE BHIMASHANKARAPPA SHIVMURTIAPPA,,Maharashtra,AUSA,GEN,IND,,733,M,5,1,FALSE,FALSE,0.79,86,0.09,,,,1
AEMH104568,7,0,1990,CHAVAN BALIRAM SITARAM,,Maharashtra,AUSA,GEN,IND,,647,M,6,1,FALSE,FALSE,0.7,209,0.23,,,,1
AEMH104569,7,0,1990,KSHIRSAGAR SHRIMANT BABURAO,,Maharashtra,AUSA,GEN,IND,,438,M,7,1,FALSE,FALSE,0.47,110,0.12,,,,1
AEMH104570,7,0,1990,JADHAV NARHARI DHENA,,Maharashtra,AUSA,GEN,IND,,328,M,8,1,FALSE,FALSE,0.36,130,0.14,,,,1
AEMH104571,7,0,1990,PATIL RAMESH UTTAM,,Maharashtra,AUSA,GEN,DDP,,198,M,9,1,FALSE,FALSE,0.21,68,0.07,,,,1
AEMH104572,7,0,1990,GAWALI MACHINDRA NARAYAN,,Maharashtra,AUSA,GEN,IND,,130,M,10,1,FALSE,FALSE,0.14,12,0.01,,,,1
AEMH104573,7,0,1990,BUNDGE SAVITA SANTRAM,,Maharashtra,AUSA,GEN,IND,,118,F,11,1,FALSE,FALSE,0.13,13,0.01,,,,1
AEMH104574,7,0,1990,KAMBLE KASHINATH SHIVRAM,,Maharashtra,AUSA,GEN,IND,,105,M,12,1,FALSE,FALSE,0.11,20,0.02,,,,1
AEMH104575,7,0,1990,WAMAN SHIVRAM GHODKE,,Maharashtra,AUSA,GEN,IND,,85,M,13,1,FALSE,FALSE,0.09,8,0.01,,,,1
AEMH104576,7,0,1990,BANKAR RAOSAHEB SHIVRAM,,Maharashtra,AUSA,GEN,IND,,77,M,14,1,FALSE,FALSE,0.08,23,0.02,,,,1
AEMH104577,7,0,1990,THESE SHIDRAMAPPA MADOLAPPA,,Maharashtra,AUSA,GEN,IND,,54,M,15,1,FALSE,FALSE,0.06,0,0,,,,1
AEMH104579,7,0,1990,MANE VISHWAMBHARRAO SHANKARRAO,,Maharashtra,NILANGA,GEN,IND,,43136,M,2,1,FALSE,FALSE,40.49,38950,36.56,,,,1
AEMH104580,7,0,1990,SHRYAWANSHI DEVIDAS JAIWANTRAO,,Maharashtra,NILANGA,GEN,SHS,,4186,M,3,1,FALSE,FALSE,3.93,3597,3.38,,,,1
AEMH104581,7,0,1990,PATIL SURESH BANDU,,Maharashtra,NILANGA,GEN,DDP,,589,M,4,1,FALSE,FALSE,0.55,80,0.08,,,,1
AEMH104582,7,0,1990,ANGSURE RANGRAO SATWA,,Maharashtra,NILANGA,GEN,IND,,509,M,5,1,FALSE,FALSE,0.48,22,0.02,,,,1
AEMH104583,7,0,1990,JADHAV RAOSAHEB KESHAVRAO,,Maharashtra,NILANGA,GEN,LKD(B),,487,M,6,1,FALSE,FALSE,0.46,175,0.16,,,,1
AEMH104584,7,0,1990,PANCHAKSHARE SURYAKANT VISHWANATH,,Maharashtra,NILANGA,GEN,IND,,312,M,7,1,FALSE,FALSE,0.29,24,0.02,,,,1
AEMH104585,7,0,1990,DORVE JANKABAI DNYANOBA,,Maharashtra,NILANGA,GEN,IND,,288,F,8,1,FALSE,FALSE,0.27,27,0.03,,,,1
AEMH104586,7,0,1990,KAMBLE SHESHRAO RAMRAO,,Maharashtra,NILANGA,GEN,IND,,261,M,9,1,FALSE,FALSE,0.25,99,0.09,,,,1
AEMH104587,7,0,1990,PATIL HANMANT BHIMRAO,,Maharashtra,NILANGA,GEN,IND,,162,M,10,1,FALSE,FALSE,0.15,5,0,,,,1
AEMH104588,7,0,1990,SONKAMBLE ASHOK MADHAVRAO,,Maharashtra,NILANGA,GEN,IND,,157,M,11,1,FALSE,FALSE,0.15,27,0.03,,,,1
AEMH104589,7,0,1990,PANDURANG MADHAVRAO SURVASE,,Maharashtra,NILANGA,GEN,IND,,130,M,12,1,FALSE,FALSE,0.12,0,0,,,,1
AEMH104591,7,0,1990,PATIL BALBHIM BHAURAO,,Maharashtra,OMERGA,GEN,IND,,27310,M,2,1,FALSE,FALSE,27.98,4208,4.31,,,,1
AEMH104592,7,0,1990,RAVINDRA VISHVANATHRAO GAIKAWAD,,Maharashtra,OMERGA,GEN,BJP,,23102,M,3,1,FALSE,FALSE,23.67,20155,20.65,,,,1
AEMH104593,7,0,1990,RATHOD MANIKRAO HANMANTRAO,,Maharashtra,OMERGA,GEN,IND,,2947,M,4,1,FALSE,FALSE,3.02,757,0.78,,,,1
AEMH104594,7,0,1990,SHESHRAO MADHAVRAO MOHITE,,Maharashtra,OMERGA,GEN,JD,,2190,M,5,1,FALSE,FALSE,2.24,248,0.25,,,,1
AEMH104595,7,0,1990,NARAYAN GANAPATI HAKKE,,Maharashtra,OMERGA,GEN,IND,,1942,M,6,1,FALSE,FALSE,1.99,423,0.43,,,,1
AEMH104596,7,0,1990,RONGE SADASHIVNAGORAO,,Maharashtra,OMERGA,GEN,IND,,1519,M,7,1,FALSE,FALSE,1.56,786,0.81,,,,1
AEMH104597,7,0,1990,DAWARE HARISH MAHADU,,Maharashtra,OMERGA,GEN,IND,,733,M,8,1,FALSE,FALSE,0.75,185,0.19,,,,1
AEMH104598,7,0,1990,LADE SUDHAKAR MADHAVRAO,,Maharashtra,OMERGA,GEN,BRSS,,548,M,9,1,FALSE,FALSE,0.56,280,0.29,,,,1
AEMH104599,7,0,1990,VASANT SHANKARRAO KULKARAI,,Maharashtra,OMERGA,GEN,IND,,268,M,10,1,FALSE,FALSE,0.27,41,0.04,,,,1
AEMH104600,7,0,1990,DEVANE VINAYAK SHANKAR,,Maharashtra,OMERGA,GEN,IND,,227,M,11,1,FALSE,FALSE,0.23,11,0.01,,,,1
AEMH104601,7,0,1990,PATRKAR WAGHMODE G. N.,,Maharashtra,OMERGA,GEN,IND,,216,M,12,1,FALSE,FALSE,0.22,52,0.05,,,,1
AEMH104602,7,0,1990,PAWALE JAGDISH MANGALDEO,,Maharashtra,OMERGA,GEN,IND,,164,M,13,1,FALSE,FALSE,0.17,2,0,,,,1
