pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH102567,2,0,1967,G. N. PATIL,,Maharashtra,PANVEL,GEN,INC,,17375,M,2,1,FALSE,FALSE,35.39,15205,30.97,,,,1
AEMH105417,2,0,1967,M. S. KOSARKAR,,Maharashtra,GUHAGAR,GEN,INC,,18484,M,1,1,FALSE,FALSE,42.46,2870,6.59,,,1,1
AEMH105560,2,0,1967,R. G. KHARAT,,Maharashtra,MAZGAON,GEN,RPI,,10734,M,2,1,FALSE,FALSE,23.03,1076,2.31,,,,1
AEMH109220,2,0,1967,V. K. CHVAN PATIL,,Maharashtra,CHANDGAD,GEN,INC,,25568,M,1,1,FALSE,FALSE,50.85,2510,4.99,,,1,1
AEMH111553,2,0,1967,B.M. DESHMUKH,,Maharashtra,WARDHA,GEN,INC,,19853,M,2,1,FALSE,FALSE,35.54,15565,27.86,,,,1
AEMH111981,2,0,1967,V. G.SHIVDARE,,Maharashtra,SOUTH SHOLAFUR,GEN,INC,,27507,M,1,1,FALSE,FALSE,77.6,23248,65.59,,,1,1
AEMH112013,1,0,1962,AUDUMBER KONDIBA PATIL,,Maharashtra,PANDHARPUR,GEN,INC,,28246,M,1,2,FALSE,FALSE,59.34,14971,31.45,,,2,2
AEMH112013,2,0,1967,A. K. PATIL,,Maharashtra,PANDHARPUR,GEN,INC,INC,26336,M,1,2,FALSE,TRUE,52.4,11745,23.37,,,2,2
AEMH112239,2,0,1967,S. S. KHEM SAWANT BHOSALE,,Maharashtra,SAWANTWADI,GEN,INC,,27452,M,1,1,FALSE,FALSE,66.29,17766,42.9,,,1,1
AEMH112240,2,0,1967,J. S. MATHKAR,,Maharashtra,SAWANTWADI,GEN,PSP,,9686,M,2,1,FALSE,FALSE,23.39,6954,16.79,,,,1
AEMH112241,2,0,1967,G. S. KALSEKAR,,Maharashtra,SAWANTWADI,GEN,BJS,,2732,M,3,1,FALSE,FALSE,6.6,1188,2.87,,,,1
AEMH112242,2,0,1967,K. R. DESAI,,Maharashtra,SAWANTWADI,GEN,PWP,,1544,M,4,1,FALSE,FALSE,3.73,0,0,,,,1
AEMH112243,2,0,1967,P. A. KINALEKAR,,Maharashtra,VENGURLA,GEN,PSP,,16594,M,1,1,FALSE,FALSE,41.15,4620,11.46,,,1,1
AEMH112244,2,0,1967,S. B. NAIK,,Maharashtra,VENGURLA,GEN,SSP,,11974,M,2,1,FALSE,FALSE,29.69,1675,4.15,,,,1
AEMH112245,2,0,1967,P. D. BHONSALE,,Maharashtra,VENGURLA,GEN,INC,,10299,M,3,1,FALSE,FALSE,25.54,8841,21.92,,,,1
AEMH112246,2,0,1967,A. W. PATKAR,,Maharashtra,VENGURLA,GEN,IND,,1458,M,4,1,FALSE,FALSE,3.62,0,0,,,,1
AEMH112248,2,0,1967,B. B. SAWANT,,Maharashtra,KANKAVLI,GEN,INC,,11438,M,2,1,FALSE,FALSE,34.73,2770,8.41,,,,1
AEMH112249,2,0,1967,B. R. HATLE,,Maharashtra,KANKAVLI,GEN,PSP,,8668,M,3,1,FALSE,FALSE,26.32,0,0,,,,1
AEMH112250,2,0,1967,V. G. PRABHUGAONKAR,,Maharashtra,MALWAN,GEN,INC,,16966,M,1,1,FALSE,FALSE,50.41,2098,6.23,,,1,1
AEMH112251,2,0,1967,S. G. KOCHAREKAR,,Maharashtra,MALWAN,GEN,PSP,,14868,M,2,1,FALSE,FALSE,44.18,13049,38.78,,,,1
AEMH112252,2,0,1967,G. A. HADKAR,,Maharashtra,MALWAN,GEN,IND,,1819,M,3,1,FALSE,FALSE,5.41,0,0,,,,1
AEMH112253,2,0,1967,R. B. MUNJ,,Maharashtra,DEOGAD,GEN,PSP,,14561,M,1,1,FALSE,FALSE,41.78,5163,14.81,,,1,1
AEMH112254,2,0,1967,R. G. MIRASHI,,Maharashtra,DEOGAD,GEN,INC,,9398,M,2,1,FALSE,FALSE,26.96,1059,3.04,,,,1
AEMH112255,2,0,1967,V. S. SATAM,,Maharashtra,DEOGAD,GEN,BJS,,8339,M,3,1,FALSE,FALSE,23.92,6361,18.25,,,,1
AEMH112256,2,0,1967,B. S. TAMBE,,Maharashtra,DEOGAD,GEN,RPI,,1978,M,4,1,FALSE,FALSE,5.67,1399,4.01,,,,1
AEMH112257,2,0,1967,V. K. DADAM,,Maharashtra,DEOGAD,GEN,IND,,579,M,5,1,FALSE,FALSE,1.66,0,0,,,,1
AEMH112258,2,0,1967,L. R. HATANKAR,,Maharashtra,RAJAPUR,GEN,PSP,,23156,M,1,1,FALSE,FALSE,58.59,11713,29.64,,,1,1
AEMH112260,2,0,1967,P. R. KINARE,,Maharashtra,RAJAPUR,GEN,BJS,,3748,M,3,1,FALSE,FALSE,9.48,2574,6.51,,,,1
AEMH112261,2,0,1967,K. F. M. DAOOD,,Maharashtra,RAJAPUR,GEN,IND,,1174,M,4,1,FALSE,FALSE,2.97,0,0,,,,1
AEMH112262,2,0,1967,S. K. ATHALYE,,Maharashtra,LANJA,GEN,PSP,,16620,M,1,1,FALSE,FALSE,47.88,4064,11.71,,,1,1
AEMH112263,2,0,1967,S. S. SAWANT,,Maharashtra,KANKAVLI,GEN,PWP,,12826,M,1,1,FALSE,FALSE,38.95,1388,4.21,,,1,1
AEMH112263,2,0,1967,S. S. SAWANT,,Maharashtra,LANJA,GEN,INC,,12556,M,2,1,FALSE,FALSE,36.17,7017,20.21,,,1,1
AEMH112264,2,0,1967,R. R. KAMBLE,,Maharashtra,LANJA,GEN,IND,,5539,M,3,1,FALSE,FALSE,15.96,0,0,,,,1
AEMH112265,2,0,1967,S. L. PEJE,,Maharashtra,RATNAGIRI,GEN,INC,,22108,M,1,1,FALSE,FALSE,55.15,8462,21.11,,,1,1
AEMH112266,2,0,1967,V. K. NIVENDKAR,,Maharashtra,RATNAGIRI,GEN,BJS,,13646,M,2,1,FALSE,FALSE,34.04,9310,23.22,,,,1
AEMH112267,2,0,1967,G. B. KAMBLE,,Maharashtra,RATNAGIRI,GEN,RPI,,4336,M,3,1,FALSE,FALSE,10.82,0,0,,,,1
AEMH112268,2,0,1967,L. B. BHUWAD,,Maharashtra,SANGAMESHWAR,GEN,INC,,15231,F,1,1,FALSE,FALSE,38.5,6372,16.11,,,1,1
AEMH112269,2,0,1967,S. D. BHIDE,,Maharashtra,SANGAMESHWAR,GEN,BJS,,8859,M,2,1,FALSE,FALSE,22.39,2720,6.88,,,,1
AEMH112270,2,0,1967,J. B. SHETYE,,Maharashtra,SANGAMESHWAR,GEN,PSP,,6139,M,3,1,FALSE,FALSE,15.52,1646,4.16,,,,1
AEMH112271,2,0,1967,A. K. PATANKAR,,Maharashtra,SANGAMESHWAR,GEN,SSP,,4493,M,4,1,FALSE,FALSE,11.36,741,1.87,,,,1
AEMH112272,2,0,1967,T. D. GAMARE,,Maharashtra,SANGAMESHWAR,GEN,IND,,3752,M,5,1,FALSE,FALSE,9.48,2668,6.74,,,,1
AEMH112273,2,0,1967,R. R. LOTANKAR,,Maharashtra,SANGAMESHWAR,GEN,SWA,,1084,M,6,1,FALSE,FALSE,2.74,0,0,,,,1
AEMH112274,2,0,1967,P. K. SAWANT,,Maharashtra,CHIPLUN,GEN,INC,,22528,M,1,1,FALSE,FALSE,53.11,12069,28.45,,,1,1
AEMH112275,2,0,1967,R. G. GHAG,,Maharashtra,CHIPLUN,GEN,BJS,,10459,M,2,1,FALSE,FALSE,24.66,4987,11.76,,,,1
