pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100509,6,0,1985,DEVIDAS GUNAJI BANSODE,,Maharashtra,OSMANABAD,GEN,IND,,818,M,4,1,FALSE,FALSE,0.89,0,0,,,,1
AEMH100696,6,0,1985,MARUTI KASHINATH GAIKWAD,,Maharashtra,MANGALVEDHE,SC,IND,,283,M,4,1,FALSE,FALSE,0.39,0,0,,,,1
AEMH100755,6,0,1985,SIDDHARTH MARUTI GHAITADAK,,Maharashtra,KARJAT,SC,IND,,2298,M,4,1,FALSE,FALSE,3.62,763,1.2,,,,1
AEMH100931,6,0,1985,DHUMAL RAMDAS VISHWANATH,,Maharashtra,RAHURI,GEN,ICS,,23661,M,2,1,FALSE,FALSE,27.42,9610,11.14,,,,1
AEMH101470,6,0,1985,GAIKWAD SANJAYSINH JAYSINGRAO,,Maharashtra,SHAHUWADI,GEN,IND,,44771,M,1,1,FALSE,FALSE,51.3,4300,4.93,,,1,1
AEMH101526,4,0,1978,KHANVILKAR DIGVIJAYA BHAUSAHEB,,Maharashtra,KARVIR,GEN,INC(I),,12479,M,4,3,FALSE,FALSE,15.53,11349,14.13,,,2,3
AEMH101526,5,0,1980,KHANVIKAR DIGVIJAY BHAUSAHEB,,Maharashtra,KARVIR,GEN,INC(I),INC(I),33346,M,1,3,FALSE,FALSE,46.8,2999,4.21,,,2,3
AEMH101526,6,0,1985,DIGVIJAY BHAUSO KHANVILKAR,,Maharashtra,KARVIR,GEN,INC,INC(I),46531,M,1,3,FALSE,TRUE,54.38,15772,18.43,,,2,3
AEMH101627,5,0,1980,SHANTARAM SHIVARAM PHILSE,,Maharashtra,MAHAD,GEN,IND,,11658,M,3,2,FALSE,FALSE,20.3,5916,10.3,,,1,2
AEMH101627,6,0,1985,SHANTARAM PHILSE,,Maharashtra,MAHAD,GEN,JNP,IND,32040,M,1,2,FALSE,FALSE,44.48,649,0.9,,,1,2
AEMH101787,4,0,1978,NANAWARE VASANT PANDURANG,,Maharashtra,WORLI,GEN,INC(I),,12786,M,2,2,FALSE,FALSE,17.97,2093,2.94,,,,2
AEMH101787,6,0,1985,VASANT PANDURANG NANAWARE,,Maharashtra,WORLI,GEN,INC,INC(I),20892,M,2,2,FALSE,FALSE,34.32,11535,18.95,,,,2
AEMH101790,1,0,1962,SAMBHAJIRAO BHANUDAS CHAVAN,,Maharashtra,WORLI,GEN,JS,,5132,M,4,2,FALSE,FALSE,9.26,3473,6.27,,,,2
AEMH101790,6,0,1985,CHAVAN SAMHBAJIRAO BHANUDAS,,Maharashtra,WORLI,GEN,IND,JS,1223,M,5,2,FALSE,FALSE,2.01,915,1.5,,,,2
AEMH101837,6,0,1985,RAMESH MEDHEKAR,,Maharashtra,DADAR,GEN,BJP,,10398,M,4,1,FALSE,FALSE,15.71,4604,6.96,,,,1
AEMH101839,6,0,1985,VASANT MORE,,Maharashtra,DHARAVI,SC,ICS,,24223,M,2,1,FALSE,FALSE,32.82,19611,26.57,,,,1
AEMH102092,6,0,1985,ARJUN CHINGARI,,Maharashtra,KALYAN,GEN,IND,,703,M,8,1,FALSE,FALSE,0.69,496,0.49,,,,1
AEMH102193,6,0,1985,GANGURDE SHAILENDRA DAMODAR,,Maharashtra,DEOLALI,SC,IND,,4985,M,4,1,FALSE,FALSE,7.58,1951,2.97,,,,1
AEMH102288,6,0,1985,KASLIWAL JAYACHAND DEEPCHAND,,Maharashtra,CHANDWAD,GEN,BJP,,29659,M,1,1,FALSE,FALSE,47.14,6038,9.6,,,1,1
AEMH102398,6,0,1985,SHALINI SUDHAKAR BORASE,,Maharashtra,DHULE,GEN,INC,,28562,F,1,1,FALSE,FALSE,40.61,8034,11.42,,,1,1
AEMH102434,5,0,1980,CHANGRE VASUDEORAO APURAM,,Maharashtra,CHALISGAON,SC,INC(I),,24405,M,2,2,FALSE,FALSE,43.34,23553,41.82,,,1,2
AEMH102434,6,0,1985,CHANGARE VASUDEVRAO APURAM,,Maharashtra,CHALISGAON,SC,ICS,INC(I),33622,M,1,2,TRUE,FALSE,53.84,5619,9,,,1,2
AEMH102465,5,0,1980,PATIL PANDURANG BHILA,,Maharashtra,AMALNER,GEN,IND,,544,M,3,2,FALSE,FALSE,0.82,0,0,,,,2
AEMH102465,6,0,1985,PATIL PANDURANG BHILA,,Maharashtra,AMALNER,GEN,IND,IND,499,M,3,2,FALSE,FALSE,0.61,0,0,,,,2
AEMH102568,6,0,1985,JAWARE HARIBHAU DAGADU,,Maharashtra,EDLABAD,GEN,ICS,,41546,M,1,1,FALSE,FALSE,51.49,6583,8.16,,,1,1
AEMH102701,6,0,1985,ATMARAM TULSHIRAM BHOPLE,,Maharashtra,AKOT,GEN,IND,,21922,M,2,1,FALSE,FALSE,29.92,12829,17.51,,,,1
AEMH102716,6,0,1985,DHOTRE VASANTRAO RAMRAO,,Maharashtra,BORGAON MANJU,GEN,INC,,42094,M,1,1,FALSE,FALSE,50.28,21608,25.81,,,1,1
AEMH102842,6,0,1985,DHOTRE SAHEBRAO DEORAO,,Maharashtra,MURTAJAPUR,GEN,BJP,,18606,M,2,1,FALSE,FALSE,26.45,1943,2.76,,,,1
AEMH102881,6,0,1985,WANKHADE DEORAO GONDAJI,,Maharashtra,DARYAPUR,GEN,IND,,10212,M,3,1,FALSE,FALSE,14.02,6623,9.09,,,,1
AEMH103224,6,0,1985,DNYANESH WAKUDKAR,,Maharashtra,HINGANGHAT,GEN,IND,,1091,M,4,1,FALSE,FALSE,1.11,333,0.34,,,,1
AEMH103475,6,0,1985,SHRUNGARPAWAR VILAS VISHWANATH,,Maharashtra,ADYAR,GEN,INC,,34455,M,1,1,FALSE,FALSE,41.55,13619,16.42,,,1,1
AEMH103684,6,0,1985,FADNAVIS SHOBHATAI MADHARAO,,Maharashtra,SAOLI,GEN,BJP,,26933,F,2,1,FALSE,FALSE,33.8,19569,24.56,,,,1
AEMH104158,6,0,1985,ANKUSH BHALEKAR,,Maharashtra,AMBAD,GEN,JNP,,21850,M,2,1,FALSE,FALSE,33.53,14742,22.63,,,,1
AEMH104199,6,0,1985,SHIVAJI JANARDHAN ADMANE,,Maharashtra,BADNAPUR,GEN,IND,,2192,M,4,1,FALSE,FALSE,2.99,190,0.26,,,,1
AEMH104269,4,0,1978,SARJERAO RAMRAO NIMBALKAR,,Maharashtra,VAIJAPUR,GEN,PWP,,1572,M,5,3,FALSE,FALSE,2.78,983,1.74,,,,3
AEMH104269,5,0,1980,SARJERAO RAMRAO NIMBALKAR,,Maharashtra,VAIJAPUR,GEN,IND,PWP,1321,M,3,3,FALSE,FALSE,2.14,687,1.11,,,,3
AEMH104269,6,0,1985,SARJERAO RAMRAO NIMBALKAR,,Maharashtra,VAIJAPUR,GEN,IND,IND,357,M,4,3,FALSE,FALSE,0.48,0,0,,,,3
AEMH104421,6,0,1985,TUPE JANARDHAN TATYABA,,Maharashtra,CHAUSALA,GEN,PWP,,17709,M,3,1,FALSE,FALSE,25.26,12086,17.24,,,,1
AEMH104725,6,0,1985,PATIL PANDURANG GANPAT,,Maharashtra,MADHA,GEN,IND,,38760,M,1,1,FALSE,FALSE,45.78,8870,10.48,,,1,1
AEMH104869,5,0,1980,NANDAKUMAR BHAUSAHEB ZAWARE,,Maharashtra,PARNER,GEN,INC(I),,9220,M,4,2,FALSE,FALSE,16.7,6618,11.99,,,1,2
AEMH104869,6,0,1985,ZAWARE NANDKUMAR BAHUSAHEB,,Maharashtra,PARNER,GEN,INC,INC(I),21155,M,1,2,FALSE,FALSE,34.05,957,1.54,,,1,2
AEMH104996,5,0,1980,GANGURDE VISHWAS KRISHNARAO,,Maharashtra,PARVATI,SC,BJP,,22880,M,2,2,FALSE,FALSE,32.84,14371,20.63,,,,2
AEMH104996,6,0,1985,VISHWAS KRISHNARAO GANGURDE,,Maharashtra,PARVATI,SC,BJP,BJP,34517,M,2,2,FALSE,FALSE,37.52,26790,29.12,,,,2
AEMH104998,6,0,1985,KAMBLE SADANAND BHIMRAO,,Maharashtra,BHAVANI PETH,GEN,RPI,,573,M,6,1,FALSE,FALSE,0.81,250,0.35,,,,1
AEMH105047,4,0,1978,BADEKAR BHUJANG WAMAN,,Maharashtra,BHAVANI PETH,GEN,IND,,411,M,5,3,FALSE,FALSE,0.57,130,0.18,,,,3
AEMH105047,5,0,1980,BADEKAR BHUJANG WAMAN,,Maharashtra,BOPODI,GEN,JNP(SR),IND,132,M,7,3,FALSE,FALSE,0.27,4,0.01,,,,3
AEMH105047,6,0,1985,BADEKAR BHUJANG WAMAN,,Maharashtra,PURANDHAR,GEN,IND,JNP(SR),1403,M,4,3,FALSE,FALSE,1.73,603,0.75,,,,3
AEMH105300,6,0,1985,PATIL ASHOKRAO SHANKARRAO,,Maharashtra,CHAUSALA,GEN,INC,,21967,M,1,1,FALSE,FALSE,31.33,2724,3.89,,,1,1
AEMH105364,6,0,1985,VASANT KESARKAR,,Maharashtra,SAWANTWADI,GEN,IND,,6276,M,3,1,FALSE,FALSE,11.14,4500,7.99,,,,1
AEMH105365,6,0,1985,VIJAY KERKAR,,Maharashtra,SAWANTWADI,GEN,IND,,1776,M,4,1,FALSE,FALSE,3.15,242,0.43,,,,1
AEMH105366,6,0,1985,BALKRISHNA RAGHOBA SAWANT,,Maharashtra,SAWANTWADI,GEN,IND,,1534,M,5,1,FALSE,FALSE,2.72,0,0,,,,1
AEMH105367,6,0,1985,PUSHPASEN SAWANT,,Maharashtra,VENGURLA,GEN,JNP,,24766,M,1,1,FALSE,FALSE,40.34,3428,5.58,,,1,1
AEMH105368,6,0,1985,SHARAD PALAV,,Maharashtra,VENGURLA,GEN,INC,,21338,M,2,1,FALSE,FALSE,34.76,12602,20.53,,,,1
AEMH105370,6,0,1985,JAGANNATH RAMACHANDRA GHATWAL,,Maharashtra,VENGURLA,GEN,IND,,2682,M,4,1,FALSE,FALSE,4.37,896,1.46,,,,1
AEMH105371,6,0,1985,VASANTRAO KHOT,,Maharashtra,VENGURLA,GEN,IND,,1786,M,5,1,FALSE,FALSE,2.91,928,1.51,,,,1
AEMH105372,6,0,1985,C. S. GAONKAR,,Maharashtra,VENGURLA,GEN,IND,,858,M,6,1,FALSE,FALSE,1.4,188,0.31,,,,1
AEMH105373,6,0,1985,NARAYAN VASUDEO PITRE,,Maharashtra,VENGURLA,GEN,IND,,670,M,7,1,FALSE,FALSE,1.09,363,0.59,,,,1
AEMH105374,6,0,1985,DATTATRAY NARAYAN KAMAT,,Maharashtra,VENGURLA,GEN,IND,,307,M,8,1,FALSE,FALSE,0.5,61,0.1,,,,1
AEMH105375,6,0,1985,VILAS SHANTARAM TARI,,Maharashtra,VENGURLA,GEN,IND,,246,M,9,1,FALSE,FALSE,0.4,0,0,,,,1
AEMH105376,6,0,1985,PRABHUGAOKAR BAPUSAHED,,Maharashtra,MALVAN,GEN,INC,,25598,M,1,1,FALSE,FALSE,47.47,3933,7.29,,,1,1
AEMH105377,6,0,1985,BABAN D'SOUZA,,Maharashtra,MALVAN,GEN,JNP,,21665,M,2,1,FALSE,FALSE,40.18,18494,34.3,,,,1
AEMH105378,6,0,1985,KALSEKAR VIVEKAND ANANT,,Maharashtra,MALVAN,GEN,IND,,3171,M,3,1,FALSE,FALSE,5.88,840,1.56,,,,1
AEMH105379,6,0,1985,APPASAHEB CHAVAN,,Maharashtra,MALVAN,GEN,IND,,2331,M,4,1,FALSE,FALSE,4.32,1540,2.86,,,,1
AEMH105380,6,0,1985,BHAI CHINDARKAR,,Maharashtra,MALVAN,GEN,IND,,791,M,5,1,FALSE,FALSE,1.47,602,1.12,,,,1
AEMH105381,6,0,1985,VASANTRAO DHANAJI MOPERKAR,,Maharashtra,MALVAN,GEN,IND,,189,M,6,1,FALSE,FALSE,0.35,14,0.03,,,,1
AEMH105382,6,0,1985,AMRUT RAGHUNATH PARAB,,Maharashtra,MALVAN,GEN,IND,,175,M,7,1,FALSE,FALSE,0.32,0,0,,,,1
AEMH105384,6,0,1985,R. R. LOKE,,Maharashtra,DEVGAD,GEN,INC,,14085,M,2,1,FALSE,FALSE,25.39,4768,8.59,,,,1
