pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100252,8,0,1995,BHUMRE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,,43802,M,1,6,FALSE,FALSE,39.05,18233,16.26,,,5,6
AEMH100252,9,0,1999,BHUMARE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,SHS,48266,M,1,6,FALSE,TRUE,48.71,21917,22.12,,,5,6
AEMH100252,10,0,2004,BHUMARE SANDIPANRAO ASARAM,GEN,Maharashtra,P.AITHAN,GEN,SHS,SHS,48462,M,1,6,FALSE,TRUE,39.68,5126,4.2,42,,5,6
AEMH100252,11,0,2009,BHUMRE SANDIPANRAO AASARAM,GEN,Maharashtra,PAITHAN,GEN,SHS,SHS,50517,M,2,6,FALSE,TRUE,31.77,25739,16.19,47,,5,6
AEMH100252,12,0,2014,BHUMRE SANDIPANRAO AASARAM,GEN,Maharashtra,PAITHAN,GEN,SHS,SHS,66991,M,1,6,FALSE,FALSE,34.52,25039,12.9,52,,5,6
AEMH100252,13,0,2019,Bhumare Sandipanrao Asaram,GEN,Maharashtra,PAITHAN,GEN,SHS,SHS,83403,M,1,6,FALSE,TRUE,39.11,14139,6.63,57,,5,6
AEMH100271,8,0,1995,PANDIT BADAMRAO LAHUJI,,Maharashtra,GEORAI,GEN,IND,,71362,M,1,6,FALSE,FALSE,63.07,40267,35.59,,,3,6
AEMH100271,9,0,1999,BADAMRAO LAHURAO PANDIT,,Maharashtra,GEORAI,GEN,IND,IND,68937,M,1,6,FALSE,TRUE,55.38,18665,14.99,,,3,6
AEMH100271,10,0,2004,PANDIT BADAMRAO LAHURAO,GEN,Maharashtra,GEORAI,GEN,NCP,IND,63814,M,2,6,FALSE,TRUE,40.33,58570,37.01,49,,3,6
AEMH100271,11,0,2009,PANDIT BADAMRAO LAHURAO,GEN,Maharashtra,GEORAI,GEN,NCP,NCP,100816,M,1,6,FALSE,FALSE,46.25,2347,1.08,52,,3,6
AEMH100271,12,0,2014,PANDIT BADAMRAO LAHURAO,GEN,Maharashtra,GEORAI,GEN,NCP,NCP,76383,M,2,6,FALSE,TRUE,32.46,69771,29.65,59,,3,6
AEMH100271,13,0,2019,Badamrao Lahurao Pandit,GEN,Maharashtra,GEORAI,GEN,IND,NCP,50894,M,3,6,FALSE,FALSE,19.46,42588,16.28,64,,3,6
AEMH100547,8,0,1995,PATIL BASAVRAJ MADHAVRAO,,Maharashtra,OMERGA,GEN,INC,,56410,M,2,6,FALSE,FALSE,42.55,51671,38.97,,,3,6
