pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100006,8,0,1995,BANGER PRATAP GANPATRAO,,Maharashtra,JINTUR,GEN,JD,,41314,M,2,2,FALSE,FALSE,33.99,31933,26.28,,,,2
AEMH100006,9,0,1999,BANGAR PRATAP GANPATRAO,,Maharashtra,JINTUR,GEN,SHS,JD,23172,M,3,2,TRUE,FALSE,20.5,22903,20.27,,,,2
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,,37437,M,1,3,FALSE,FALSE,42.83,14717,16.84,,,3,3
AEMH100024,8,0,1995,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,42598,M,1,3,FALSE,TRUE,39.21,17865,16.45,,,3,3
AEMH100024,9,0,1999,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,39242,M,1,3,FALSE,TRUE,39.06,6891,6.86,,,3,3
AEMH100036,8,0,1995,A. KADIR A. WAHED DESHMUKH,,Maharashtra,PARTUR,GEN,INC,,37912,M,1,2,FALSE,FALSE,31.95,122,0.1,,,1,2
AEMH100036,9,0,1999,A. KADIR A. WAHED DESHMUKH,,Maharashtra,PARTUR,GEN,INC,INC,32508,M,2,2,FALSE,TRUE,30.19,7232,6.72,,,1,2
AEMH100091,8,0,1995,ARVIND BAJIRAO CHAVAN,,Maharashtra,BADNAPUR,GEN,INC,,16902,M,3,2,FALSE,FALSE,12.84,4603,3.5,,,,2
AEMH100091,9,0,1999,CHAVAN ARVIND BAJIRAO,,Maharashtra,BADNAPUR,GEN,IND,INC,24153,M,2,2,FALSE,FALSE,21.25,1693,1.49,,,,2
AEMH100150,8,0,1995,R.M. WANI,,Maharashtra,VAIJAPUR,GEN,ICS,,32695,M,2,2,FALSE,FALSE,29.3,12644,11.33,,,1,2
AEMH100150,9,0,1999,R. M. WANI,,Maharashtra,VAIJAPUR,GEN,SHS,ICS,51234,M,1,2,TRUE,FALSE,48.6,23175,21.98,,,1,2
AEMH100198,8,0,1995,DARDA RAJENDRA,,Maharashtra,AURANGABAD WEST,GEN,INC,,72657,M,2,2,FALSE,FALSE,25.85,29935,10.65,,,1,2
AEMH100198,9,0,1999,DARDA RAJENDRA,,Maharashtra,AURANGABAD WEST,GEN,INC,INC,132568,M,1,2,FALSE,FALSE,52.64,44836,17.8,,,1,2
AEMH100252,8,0,1995,BHUMRE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,,43802,M,1,2,FALSE,FALSE,39.05,18233,16.26,,,2,2
AEMH100252,9,0,1999,BHUMARE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,SHS,48266,M,1,2,FALSE,TRUE,48.71,21917,22.12,,,2,2
AEMH100271,8,0,1995,PANDIT BADAMRAO LAHUJI,,Maharashtra,GEORAI,GEN,IND,,71362,M,1,2,FALSE,FALSE,63.07,40267,35.59,,,2,2
AEMH100271,9,0,1999,BADAMRAO LAHURAO PANDIT,,Maharashtra,GEORAI,GEN,IND,IND,68937,M,1,2,FALSE,TRUE,55.38,18665,14.99,,,2,2
AEMH100286,8,0,1995,DR. SARWADE BHAGWANRAO KHANDERAO,,Maharashtra,MANJLEGAON,GEN,BBMS,,9527,M,4,2,FALSE,FALSE,7.19,1766,1.33,,,,2
AEMH100286,9,0,1999,DR. SARWADE BHAGWANRAO KHANDERAO,,Maharashtra,MANJLEGAON,GEN,ABHM,BBMS,3525,M,5,2,TRUE,FALSE,2.51,141,0.1,,,,2
AEMH100290,8,0,1995,THAWARE GANGABHISHAN KASHINATHRAO,,Maharashtra,MANJLEGAON,GEN,PWP,,3026,M,8,2,FALSE,FALSE,2.28,107,0.08,,,,2
AEMH100290,9,0,1999,THAWARE GANGABHISAN KASHINATHRAO,,Maharashtra,MANJLEGAON,GEN,PWPI,PWP,1166,M,7,2,FALSE,FALSE,0.83,227,0.16,,,,2
AEMH100352,8,0,1995,ANDHALE KESHAVRAO YADAVRAO,,Maharashtra,CHAUSALA,GEN,BJP,,34400,M,2,2,FALSE,FALSE,30.08,16426,14.36,,,,2
