pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100465,1,0,1962,SHIVAJIRAO BHAWANRAO PATIL,,Maharashtra,MALSIRAS,GEN,IND,,20767,M,2,1,FALSE,FALSE,38.06,19652,36.01,,,,1
AEMH101643,1,0,1962,DIWAKAR BABURAO DERE,,Maharashtra,PEN,GEN,JS,,2132,M,3,1,FALSE,FALSE,5.36,147,0.37,,,,1
AEMH101790,1,0,1962,SAMBHAJIRAO BHANUDAS CHAVAN,,Maharashtra,WORLI,GEN,JS,,5132,M,4,1,FALSE,FALSE,9.26,3473,6.27,,,,1
AEMH106160,1,0,1962,SADASHIV NARAYAN BHALERAO,,Maharashtra,JALGAON,GEN,CPI,,8043,M,2,1,FALSE,FALSE,22.69,1817,5.13,,,,1
AEMH107209,1,0,1962,SAMPATRAO MARUTI PATIL,,Maharashtra,KARMALA,GEN,PWP,,11296,M,3,1,FALSE,FALSE,26.79,10273,24.37,,,,1
AEMH107701,1,0,1962,ABDUL RAHIM A. GAFOOR ANTULAY,,Maharashtra,SHRIWARDHAN,GEN,INC,,16684,M,1,1,FALSE,FALSE,57.49,9209,31.73,,,1,1
AEMH107805,1,0,1962,SHAKUNTALA CHINTAMAN SALVE,,Maharashtra,NAIGAUM,SC,INC,,20731,F,1,1,FALSE,FALSE,39.4,4317,8.2,,,1,1
AEMH109060,1,0,1962,SHAMKANT DAMODAR MORE,,Maharashtra,SIRUR,GEN,PSP,,11334,M,2,1,FALSE,FALSE,42.45,9768,36.59,,,,1
AEMH109233,1,0,1962,YESHWANT BABAJI DALVI,,Maharashtra,KANKAOLI,GEN,PSP,,10035,M,1,1,FALSE,FALSE,39.32,1356,5.31,,,1,1
AEMH109235,1,0,1962,SITARAM SAKHARAM SAWANT,,Maharashtra,KANKAOLI,GEN,PWP,,4864,M,3,1,FALSE,FALSE,19.06,3751,14.7,,,,1
AEMH109281,1,0,1962,PANDURANG RAMAJI SANAP,,Maharashtra,ROHA,GEN,PWP,,17466,M,1,1,FALSE,FALSE,47.68,1860,5.08,,,1,1
AEMH109398,1,0,1962,FREDRICK MICHAEL PINTO,,Maharashtra,MAHIM,GEN,PSP,,19036,M,1,1,FALSE,FALSE,41.28,2307,5,,,1,1
AEMH109651,1,0,1962,GYANDEO TUKARAM DEORE,,Maharashtra,NANDGAON,GEN,REP,,6319,M,3,1,FALSE,FALSE,12.42,0,0,,,,1
AEMH109652,1,0,1962,VYANKATRAO BHAUSAHEB HIRE,,Maharashtra,NANDGAON,GEN,INC,,30651,M,1,1,FALSE,FALSE,60.24,16739,32.9,,,1,1
AEMH109689,1,0,1962,RUDHA RAJYA GAVIT,,Maharashtra,NAWAPUR,ST,JS,,2338,M,4,1,FALSE,FALSE,12.36,0,0,,,,1
AEMH109710,1,0,1962,PRAHLADRAO MADHAVRAO PATIL,,Maharashtra,SHIRPUR,GEN,JS,,10916,M,2,1,FALSE,FALSE,27.11,8625,21.42,,,,1
AEMH109724,1,0,1962,ZULAL BHILAJIRAO PATIL,,Maharashtra,DHULIA NORTH,GEN,PWP,,7634,M,2,1,FALSE,FALSE,18.86,3791,9.36,,,,1
AEMH109845,1,0,1962,TULSIRAM PANDHARI DHOKNE,,Maharashtra,JALAMB,GEN,INC,,21774,M,2,1,FALSE,FALSE,40.57,19365,36.08,,,,1
AEMH109967,1,0,1962,UMERLALJI MATHURADAS KEDIA,,Maharashtra,AMRAVATI,GEN,INC,,27838,M,1,1,FALSE,FALSE,52.21,6960,13.05,,,1,1
AEMH110107,1,0,1962,RAMJI CHIMNAJI NAIK,,Maharashtra,SAONER,GEN,IND,,9771,M,2,1,FALSE,FALSE,23.64,3788,9.16,,,,1
AEMH110174,1,0,1962,SHAMRAO PAGA KAPGATE,,Maharashtra,SAKOLI,GEN,JS,,14324,M,2,1,FALSE,FALSE,26.95,576,1.08,,,,1
AEMH110739,1,0,1962,EKNATH SHANKAR DESHMUKH,,Maharashtra,NAGAR AKOLA,ST,PSP,,5973,M,3,1,FALSE,FALSE,17.49,3796,11.11,,,,1
AEMH110816,1,0,1962,JAYSING GANPAT SASANE,,Maharashtra,POONA CANTONMENT,GEN,PSP,,6474,M,2,1,FALSE,FALSE,19.61,3980,12.05,,,,1
AEMH110939,1,0,1962,GANPATI DADA LAD,,Maharashtra,TASGAON,GEN,PWP,,18932,M,2,1,FALSE,FALSE,35.48,17933,33.61,,,,1
AEMH111073,1,0,1962,GANGARAM BHIKAJI KAMBALE,,Maharashtra,MAKHAJAN,SC,REP,,2134,M,4,1,FALSE,FALSE,10.53,0,0,,,,1
AEMH111186,1,0,1962,MADHAV NARAYAN BIRJE,,Maharashtra,WORLI,GEN,INC,,24041,M,1,1,FALSE,FALSE,43.39,6033,10.89,,,1,1
AEMH111255,1,0,1962,VADILAL CHATRABHUJ GANDHI,,Maharashtra,CHEMBUR,GEN,INC,,59446,M,1,1,FALSE,FALSE,56.19,40127,37.93,,,1,1
AEMH111300,1,0,1962,DHAKATYA POSHA SUTAR,,Maharashtra,KASA,ST,CPI,,20032,M,1,1,FALSE,FALSE,59.36,10133,30.02,,,1,1
AEMH111360,1,0,1962,SHANKAR BHIKAJI POTINDE,,Maharashtra,PEINT,ST,PWP,,5928,M,3,1,FALSE,FALSE,25,0,0,,,,1
AEMH111464,1,0,1962,GOPALRAO SAKHARAM JADHAO,,Maharashtra,JANEFAL,SC,REP,,6105,M,3,1,FALSE,FALSE,17.51,3994,11.45,,,,1
AEMH111474,1,0,1962,KASHIRAO RAIBHAN PATIL,,Maharashtra,JALAMB,GEN,PWP,,25207,M,1,1,FALSE,FALSE,46.97,3433,6.4,,,1,1
AEMH111633,1,0,1962,SHRIRAM BHAGWANJI PATIL,,Maharashtra,KALAMESHWAR,GEN,IND,,1812,M,4,1,FALSE,FALSE,3.56,0,0,,,,1
