pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100318,5,0,1980,NAGARGOJE SHAMRAO NARAYANRAO,,Maharashtra,BEED,GEN,CPI,,4708,M,4,1,FALSE,FALSE,7.68,3957,6.46,,,,1
AEMH100465,1,0,1962,SHIVAJIRAO BHAWANRAO PATIL,,Maharashtra,MALSIRAS,GEN,IND,,20767,M,2,2,FALSE,FALSE,38.06,19652,36.01,,,,2
AEMH100465,5,0,1980,PATIL SHIVAJIRAO BHAVANRAO,,Maharashtra,MALSHIRAS,GEN,JNP(JP),IND,25655,M,2,2,FALSE,FALSE,28.28,25115,27.69,,,,2
AEMH100942,5,0,1980,NATH MADHAVRAO SHINDE,,Maharashtra,PARNER,GEN,BJP,,2602,M,5,1,FALSE,FALSE,4.71,674,1.22,,,,1
AEMH101526,4,0,1978,KHANVILKAR DIGVIJAYA BHAUSAHEB,,Maharashtra,KARVIR,GEN,INC(I),,12479,M,4,2,FALSE,FALSE,15.53,11349,14.13,,,1,2
AEMH101526,5,0,1980,KHANVIKAR DIGVIJAY BHAUSAHEB,,Maharashtra,KARVIR,GEN,INC(I),INC(I),33346,M,1,2,FALSE,FALSE,46.8,2999,4.21,,,1,2
AEMH101627,5,0,1980,SHANTARAM SHIVARAM PHILSE,,Maharashtra,MAHAD,GEN,IND,,11658,M,3,1,FALSE,FALSE,20.3,5916,10.3,,,,1
AEMH101856,3,0,1972,SITARAM RAMCHANDRA JAGTAP,,Maharashtra,SANTACRUZ,GEN,CPI,,6971,M,4,3,FALSE,FALSE,8.97,5875,7.56,,,,3
AEMH101856,4,0,1978,SITARAM RAMCHANDRA JAGTAP,,Maharashtra,KHERWADI,GEN,CPI,CPI,1762,M,5,3,FALSE,FALSE,2.44,592,0.82,,,,3
AEMH101856,5,0,1980,JAGTAP SITARAM RAMCHANDRA,,Maharashtra,KHERWADI,GEN,CPI,CPI,929,M,6,3,FALSE,FALSE,1.87,825,1.66,,,,3
