pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,,37437,M,1,4,FALSE,FALSE,42.83,14717,16.84,,,3,4
AEMH100024,8,0,1995,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,42598,M,1,4,FALSE,TRUE,39.21,17865,16.45,,,3,4
AEMH100024,9,0,1999,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,39242,M,1,4,FALSE,TRUE,39.06,6891,6.86,,,3,4
AEMH100024,10,0,2004,HARIBHAU VITTHALRAO LAHANE,GEN,Maharashtra,P.ATHRI,GEN,SHS,SHS,43331,M,2,4,FALSE,TRUE,33.27,16699,12.82,45,,3,4
AEMH100091,8,0,1995,ARVIND BAJIRAO CHAVAN,,Maharashtra,BADNAPUR,GEN,INC,,16902,M,3,3,FALSE,FALSE,12.84,4603,3.5,,,1,3
AEMH100091,9,0,1999,CHAVAN ARVIND BAJIRAO,,Maharashtra,BADNAPUR,GEN,IND,INC,24153,M,2,3,FALSE,FALSE,21.25,1693,1.49,,,1,3
AEMH100091,10,0,2004,ARVIND BAJIRAO CHAVAN,GEN,Maharashtra,BADNAPUR,GEN,NCP,IND,56539,M,1,3,FALSE,FALSE,38.06,7629,5.14,48,,1,3
AEMH100150,8,0,1995,R.M. WANI,,Maharashtra,VAIJAPUR,GEN,ICS,,32695,M,2,3,FALSE,FALSE,29.3,12644,11.33,,,2,3
AEMH100150,9,0,1999,R. M. WANI,,Maharashtra,VAIJAPUR,GEN,SHS,ICS,51234,M,1,3,TRUE,FALSE,48.6,23175,21.98,,,2,3
AEMH100150,10,0,2004,WANI RANGNATH MURLIDHAR,GEN,Maharashtra,VAIJAPUR,GEN,SHS,SHS,41365,M,1,3,FALSE,TRUE,30.46,8952,6.59,47,,2,3
AEMH100198,8,0,1995,DARDA RAJENDRA,,Maharashtra,AURANGABAD WEST,GEN,INC,,72657,M,2,3,FALSE,FALSE,25.85,29935,10.65,,,2,3
AEMH100198,9,0,1999,DARDA RAJENDRA,,Maharashtra,AURANGABAD WEST,GEN,INC,INC,132568,M,1,3,FALSE,FALSE,52.64,44836,17.8,,,2,3
AEMH100198,10,0,2004,DARDA RAJENDRA,GEN,Maharashtra,AURANGABAD WEST,GEN,INC,INC,154056,M,1,3,FALSE,TRUE,45.86,7886,2.35,51,,2,3
AEMH100252,8,0,1995,BHUMRE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,,43802,M,1,3,FALSE,FALSE,39.05,18233,16.26,,,3,3
AEMH100252,9,0,1999,BHUMARE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,SHS,48266,M,1,3,FALSE,TRUE,48.71,21917,22.12,,,3,3
AEMH100252,10,0,2004,BHUMARE SANDIPANRAO ASARAM,GEN,Maharashtra,P.AITHAN,GEN,SHS,SHS,48462,M,1,3,FALSE,TRUE,39.68,5126,4.2,42,,3,3
AEMH100271,8,0,1995,PANDIT BADAMRAO LAHUJI,,Maharashtra,GEORAI,GEN,IND,,71362,M,1,3,FALSE,FALSE,63.07,40267,35.59,,,2,3
AEMH100271,9,0,1999,BADAMRAO LAHURAO PANDIT,,Maharashtra,GEORAI,GEN,IND,IND,68937,M,1,3,FALSE,TRUE,55.38,18665,14.99,,,2,3
AEMH100271,10,0,2004,PANDIT BADAMRAO LAHURAO,GEN,Maharashtra,GEORAI,GEN,NCP,IND,63814,M,2,3,FALSE,TRUE,40.33,58570,37.01,49,,2,3
AEMH100290,8,0,1995,THAWARE GANGABHISHAN KASHINATHRAO,,Maharashtra,MANJLEGAON,GEN,PWP,,3026,M,8,3,FALSE,FALSE,2.28,107,0.08,,,,3
AEMH100290,9,0,1999,THAWARE GANGABHISAN KASHINATHRAO,,Maharashtra,MANJLEGAON,GEN,PWPI,PWP,1166,M,7,3,FALSE,FALSE,0.83,227,0.16,,,,3
AEMH100290,10,0,2004,THAWRE GANGABHISHAN KASHINATH RAO,GEN,Maharashtra,MANJLEGAON,GEN,PWPI,PWPI,32694,M,3,3,FALSE,FALSE,19.05,26627,15.52,43,,,3
AEMH100351,8,0,1995,BHAI TUPE JANARDHAN TATYABA,,Maharashtra,CHAUSALA,GEN,PWP,,53056,M,1,2,FALSE,FALSE,46.4,18656,16.31,,,1,2
AEMH100351,10,0,2004,BHAIE JANARDHAN TATYABA TUPE PATIL,GEN,Maharashtra,CHAUSALA,GEN,PWPI,PWP,431,M,9,2,FALSE,FALSE,0.26,109,0.07,53,,1,2
AEMH100352,8,0,1995,ANDHALE KESHAVRAO YADAVRAO,,Maharashtra,CHAUSALA,GEN,BJP,,34400,M,2,3,FALSE,FALSE,30.08,16426,14.36,,,1,3
AEMH100352,9,0,1999,ANDHALE KESHAVRAO YADAVRAO,,Maharashtra,CHAUSALA,GEN,BJP,BJP,42632,M,2,3,FALSE,FALSE,34.16,11546,9.25,,,1,3
AEMH100352,10,0,2004,ANDHALE KESHAVRAO YADAVRAO,GEN,Maharashtra,CHAUSALA,GEN,BJP,BJP,78439,M,1,3,FALSE,FALSE,47.82,3377,2.06,48,,1,3
AEMH100372,8,0,1995,WADMARE CHANDRASHEKAAR VISHNUPANT,,Maharashtra,KAIJ,SC,IND,,5977,M,4,2,FALSE,FALSE,4.62,3725,2.88,,,,2
AEMH100372,10,0,2004,WADMARE CHANDRASHEKHAR VISHNUPANT,SC,Maharashtra,KAIJ,SC,BJP,IND,59380,M,2,2,FALSE,FALSE,37.48,55124,34.79,38,,,2
AEMH100429,8,0,1995,KENDRE GOVIND DNYANOBA,,Maharashtra,UDGIR,GEN,JD,,30996,M,2,3,FALSE,FALSE,23.42,6956,5.26,,,1,3
AEMH100429,9,0,1999,KENDRE GOVIND DNYANOBA,,Maharashtra,UDGIR,GEN,BJP,JD,50394,M,1,3,TRUE,FALSE,42.12,12790,10.69,,,1,3
AEMH100429,10,0,2004,KENDRE GOVIND DNYANOBA,GEN,Maharashtra,UDGIR,GEN,BJP,BJP,54488,M,2,3,FALSE,TRUE,35.11,28147,18.14,48,,1,3
AEMH100493,8,0,1995,PATIL DNYANESHWAR RAOSAHEB,,Maharashtra,PARANDA,GEN,SHS,,39424,M,1,2,FALSE,FALSE,31.71,5742,4.62,,,1,2
AEMH100493,10,0,2004,PATIL DNYANESHWAR RAOSAHEB,GEN,Maharashtra,P.ARANDA,GEN,SHS,SHS,32754,M,3,2,FALSE,FALSE,23.33,29729,21.18,37,,1,2
AEMH100547,8,0,1995,PATIL BASAVRAJ MADHAVRAO,,Maharashtra,OMERGA,GEN,INC,,56410,M,2,3,FALSE,FALSE,42.55,51671,38.97,,,1,3
AEMH100547,9,0,1999,PATIL BASWARAJ MADHAV,,Maharashtra,OMERGA,GEN,INC,INC,56245,M,1,3,FALSE,FALSE,46.87,13013,10.84,,,1,3
