pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,,37437,M,1,6,FALSE,FALSE,42.83,14717,16.84,,,3,6
AEMH100024,8,0,1995,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,42598,M,1,6,FALSE,TRUE,39.21,17865,16.45,,,3,6
AEMH100024,9,0,1999,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,39242,M,1,6,FALSE,TRUE,39.06,6891,6.86,,,3,6
AEMH100024,10,0,2004,HARIBHAU VITTHALRAO LAHANE,GEN,Maharashtra,P.ATHRI,GEN,SHS,SHS,43331,M,2,6,FALSE,TRUE,33.27,16699,12.82,45,,3,6
AEMH100024,11,0,2009,LAHANE HARIBHAU VITTHALRAO,GEN,Maharashtra,JINTUR,GEN,SHS,SHS,30576,M,3,6,FALSE,FALSE,15.66,27243,13.95,51,,3,6
AEMH100024,12,0,2014,HARIBHAU VITTHALRAO LAHANE,GEN,Maharashtra,PATHRI,GEN,MNS,SHS,5509,M,6,6,TRUE,FALSE,2.35,2873,1.23,56,,3,6
AEMH100091,8,0,1995,ARVIND BAJIRAO CHAVAN,,Maharashtra,BADNAPUR,GEN,INC,,16902,M,3,4,FALSE,FALSE,12.84,4603,3.5,,,1,4
AEMH100091,9,0,1999,CHAVAN ARVIND BAJIRAO,,Maharashtra,BADNAPUR,GEN,IND,INC,24153,M,2,4,FALSE,FALSE,21.25,1693,1.49,,,1,4
AEMH100091,10,0,2004,ARVIND BAJIRAO CHAVAN,GEN,Maharashtra,BADNAPUR,GEN,NCP,IND,56539,M,1,4,FALSE,FALSE,38.06,7629,5.14,48,,1,4
AEMH100091,12,0,2014,ARVIND BAJIRAO CHAVAN,GEN,Maharashtra,JALNA,GEN,BJP,NCP,37591,M,3,4,TRUE,FALSE,21.13,1241,0.7,58,,1,4
AEMH100150,8,0,1995,R.M. WANI,,Maharashtra,VAIJAPUR,GEN,ICS,,32695,M,2,5,FALSE,FALSE,29.3,12644,11.33,,,3,5
AEMH100150,9,0,1999,R. M. WANI,,Maharashtra,VAIJAPUR,GEN,SHS,ICS,51234,M,1,5,TRUE,FALSE,48.6,23175,21.98,,,3,5
AEMH100150,10,0,2004,WANI RANGNATH MURLIDHAR,GEN,Maharashtra,VAIJAPUR,GEN,SHS,SHS,41365,M,1,5,FALSE,TRUE,30.46,8952,6.59,47,,3,5
AEMH100150,11,0,2009,R.M. WANI,GEN,Maharashtra,VAIJAPUR,GEN,SHS,SHS,51379,M,1,5,FALSE,TRUE,30.48,1225,0.73,55,,3,5
AEMH100150,12,0,2014,R. M. WANI,GEN,Maharashtra,VAIJAPUR,GEN,SHS,SHS,48405,M,2,5,FALSE,TRUE,25.09,7059,3.66,60,,3,5
AEMH100252,8,0,1995,BHUMRE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,,43802,M,1,5,FALSE,FALSE,39.05,18233,16.26,,,4,5
AEMH100252,9,0,1999,BHUMARE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,SHS,48266,M,1,5,FALSE,TRUE,48.71,21917,22.12,,,4,5
