pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,,37437,M,1,5,FALSE,FALSE,42.83,14717,16.84,,,3,5
AEMH100024,8,0,1995,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,42598,M,1,5,FALSE,TRUE,39.21,17865,16.45,,,3,5
AEMH100024,9,0,1999,LAHANE HARIBHAU VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,SHS,39242,M,1,5,FALSE,TRUE,39.06,6891,6.86,,,3,5
AEMH100024,10,0,2004,HARIBHAU VITTHALRAO LAHANE,GEN,Maharashtra,P.ATHRI,GEN,SHS,SHS,43331,M,2,5,FALSE,TRUE,33.27,16699,12.82,45,,3,5
AEMH100024,11,0,2009,LAHANE HARIBHAU VITTHALRAO,GEN,Maharashtra,JINTUR,GEN,SHS,SHS,30576,M,3,5,FALSE,FALSE,15.66,27243,13.95,51,,3,5
AEMH100036,8,0,1995,A. KADIR A. WAHED DESHMUKH,,Maharashtra,PARTUR,GEN,INC,,37912,M,1,3,FALSE,FALSE,31.95,122,0.1,,,1,3
AEMH100036,9,0,1999,A. KADIR A. WAHED DESHMUKH,,Maharashtra,PARTUR,GEN,INC,INC,32508,M,2,3,FALSE,TRUE,30.19,7232,6.72,,,1,3
AEMH100036,11,0,2009,ANWAR A. KADIR DESHMUKH,GEN,Maharashtra,PARTUR,GEN,INC,INC,30161,M,3,3,FALSE,FALSE,18.17,7806,4.7,31,,1,3
AEMH100150,8,0,1995,R.M. WANI,,Maharashtra,VAIJAPUR,GEN,ICS,,32695,M,2,4,FALSE,FALSE,29.3,12644,11.33,,,3,4
AEMH100150,9,0,1999,R. M. WANI,,Maharashtra,VAIJAPUR,GEN,SHS,ICS,51234,M,1,4,TRUE,FALSE,48.6,23175,21.98,,,3,4
AEMH100150,10,0,2004,WANI RANGNATH MURLIDHAR,GEN,Maharashtra,VAIJAPUR,GEN,SHS,SHS,41365,M,1,4,FALSE,TRUE,30.46,8952,6.59,47,,3,4
AEMH100150,11,0,2009,R.M. WANI,GEN,Maharashtra,VAIJAPUR,GEN,SHS,SHS,51379,M,1,4,FALSE,TRUE,30.48,1225,0.73,55,,3,4
AEMH100169,8,0,1995,KAILAS BAHIRUNATH PATIL,,Maharashtra,GANGAPUR,GEN,INC,,21256,M,3,2,FALSE,FALSE,15.12,304,0.22,,,,2
AEMH100169,11,0,2009,KAILAS BHAIRUNATH PATIL,GEN,Maharashtra,GANGAPUR,GEN,SP,INC,4426,M,6,2,TRUE,FALSE,2.98,1944,1.31,47,,,2
AEMH100252,8,0,1995,BHUMRE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,,43802,M,1,4,FALSE,FALSE,39.05,18233,16.26,,,3,4
AEMH100252,9,0,1999,BHUMARE SANDIPANRAO ASARAM,,Maharashtra,PAITHAN,GEN,SHS,SHS,48266,M,1,4,FALSE,TRUE,48.71,21917,22.12,,,3,4
AEMH100252,10,0,2004,BHUMARE SANDIPANRAO ASARAM,GEN,Maharashtra,P.AITHAN,GEN,SHS,SHS,48462,M,1,4,FALSE,TRUE,39.68,5126,4.2,42,,3,4
AEMH100252,11,0,2009,BHUMRE SANDIPANRAO AASARAM,GEN,Maharashtra,PAITHAN,GEN,SHS,SHS,50517,M,2,4,FALSE,TRUE,31.77,25739,16.19,47,,3,4
AEMH100271,8,0,1995,PANDIT BADAMRAO LAHUJI,,Maharashtra,GEORAI,GEN,IND,,71362,M,1,4,FALSE,FALSE,63.07,40267,35.59,,,3,4
AEMH100271,9,0,1999,BADAMRAO LAHURAO PANDIT,,Maharashtra,GEORAI,GEN,IND,IND,68937,M,1,4,FALSE,TRUE,55.38,18665,14.99,,,3,4
AEMH100271,10,0,2004,PANDIT BADAMRAO LAHURAO,GEN,Maharashtra,GEORAI,GEN,NCP,IND,63814,M,2,4,FALSE,TRUE,40.33,58570,37.01,49,,3,4
AEMH100271,11,0,2009,PANDIT BADAMRAO LAHURAO,GEN,Maharashtra,GEORAI,GEN,NCP,NCP,100816,M,1,4,FALSE,FALSE,46.25,2347,1.08,52,,3,4
AEMH100506,7,0,1990,GORE ARVIND JANARDHAN,,Maharashtra,OSMANABAD,GEN,JD,,34470,M,2,3,FALSE,FALSE,31.62,27280,25.02,,,,3
AEMH100506,8,0,1995,GORE ARVIND JANARDHAN,,Maharashtra,OSMANABAD,GEN,JD,JD,22022,M,3,3,FALSE,FALSE,16.86,5159,3.95,,,,3
AEMH100506,11,0,2009,GORE ARVIND JANARDHAN,GEN,Maharashtra,TULJAPUR,GEN,IND,JD,15665,M,4,3,FALSE,FALSE,7.98,10666,5.43,68,,,3
AEMH100547,8,0,1995,PATIL BASAVRAJ MADHAVRAO,,Maharashtra,OMERGA,GEN,INC,,56410,M,2,4,FALSE,FALSE,42.55,51671,38.97,,,2,4
AEMH100547,9,0,1999,PATIL BASWARAJ MADHAV,,Maharashtra,OMERGA,GEN,INC,INC,56245,M,1,4,FALSE,FALSE,46.87,13013,10.84,,,2,4
AEMH100547,10,0,2004,BASAVRAJ MADHAVRAO PATIL,GEN,Maharashtra,OMERGA,GEN,INC,INC,61848,M,2,4,FALSE,TRUE,41.64,48569,32.7,48,,2,4
AEMH100547,11,0,2009,BASAWARAJ MADHAVRAO PATIL,GEN,Maharashtra,AUSA,GEN,INC,INC,84526,M,1,4,FALSE,FALSE,50.89,14795,8.91,53,,2,4
AEMH100568,7,0,1990,PATIL SIDRAMAPPA MALAKAPPA,,Maharashtra,SOUTH SOLAPUR,GEN,IND,,34782,M,2,3,FALSE,FALSE,38.22,28780,31.63,,,1,3
AEMH100568,8,0,1995,PATIL SIDRAMAPPA MALKAPPA,,Maharashtra,AKKALKOT,GEN,IND,IND,19937,M,3,3,FALSE,FALSE,19.32,6270,6.08,,,1,3
AEMH100568,11,0,2009,PATIL SIDRAMAPPA MALKAPPA,GEN,Maharashtra,AKKALKOT,GEN,BJP,IND,92496,M,1,3,FALSE,FALSE,47.26,1385,0.71,68,,1,3
AEMH100569,8,0,1995,INAGALE CHANDRAKANT KONDIBA,,Maharashtra,AKKALKOT,GEN,IND,,13667,M,4,2,FALSE,FALSE,13.25,12876,12.48,,,,2
AEMH100569,11,0,2009,INGALE CHANDRAKANT KONDIBA,SC,Maharashtra,AKKALKOT,GEN,IND,IND,3413,M,3,2,FALSE,FALSE,1.74,846,0.43,52,,,2
AEMH100581,8,1,1998,Mhetre Siddharam Satlingappa,,Maharashtra,AKKALKOT,GEN,INC,,45282,M,1,3,FALSE,FALSE,51.05,2828,3.19,,,2,3
AEMH100581,9,0,1999,MHETRE SIDDHARAM SATLINGAPPA,,Maharashtra,AKKALKOT,GEN,INC,INC,40917,M,1,3,FALSE,TRUE,43.65,5799,6.19,,,2,3
AEMH100581,11,0,2009,SIDDHARAM SATLINGAPPA MHETRE,GEN,Maharashtra,AKKALKOT,GEN,INC,INC,91111,M,2,3,FALSE,FALSE,46.55,87698,44.81,49,,2,3
AEMH100671,8,0,1995,KHANDARE UTTAMPRAKASH BABURAO,,Maharashtra,NORTH SOLAPUR,SC,SHS,,74951,M,1,4,FALSE,FALSE,43.69,12496,7.28,,,3,4
AEMH100671,9,0,1999,KHANDARE UTTAMPRAKASH BABURAO,,Maharashtra,NORTH SOLAPUR,SC,SHS,SHS,63274,M,1,4,FALSE,TRUE,42.66,27376,18.46,,,3,4
AEMH100671,10,0,2004,KHANDARE UTTAMPRAKASH BABURAO,SC,Maharashtra,NORTH SOLAPUR,SC,SHS,SHS,78252,M,1,4,FALSE,TRUE,46.81,22266,13.32,47,,3,4
AEMH100671,11,0,2009,KHANDHARE UTTAMPRAKASH BABURAO,SC,Maharashtra,MOHOL,SC,SHS,SHS,9666,M,3,4,FALSE,TRUE,6.24,5310,3.43,51,,3,4
AEMH100714,8,0,1995,SHINDE BABANRAO VITHALRAO,,Maharashtra,MADHA,GEN,IND,,48896,M,1,4,FALSE,FALSE,37.47,20310,15.57,,,4,4
AEMH100714,9,0,1999,SHINDE BABANRAO VITTHALRAO,,Maharashtra,MADHA,GEN,NCP,IND,59997,M,1,4,FALSE,TRUE,54.37,35589,32.25,,,4,4
AEMH100714,10,0,2004,SHINDE BABANRAO VITHALRAO,GEN,Maharashtra,MADHA,GEN,NCP,NCP,92851,M,1,4,FALSE,TRUE,61.13,42745,28.14,52,,4,4
AEMH100714,11,0,2009,SHINDE BABANRAO VITTHALRAO,GEN,Maharashtra,MADHA,GEN,NCP,NCP,110224,M,1,4,FALSE,TRUE,61.26,63169,35.11,59,,4,4
AEMH100766,8,0,1995,BHOS BABASAHEB SAHADU,,Maharashtra,SHRIGONDA,GEN,IND,,46433,M,2,3,FALSE,FALSE,30.93,12813,8.53,,,,3
AEMH100766,10,0,2004,BABASAHEB SAHADU BHOS,GEN,Maharashtra,SHRIGONDA,GEN,IND,IND,39190,M,3,3,FALSE,FALSE,23.62,28418,17.13,53,,,3
AEMH100766,11,0,2009,BABASAHEB SAHADU BHOS,GEN,Maharashtra,SHRIGONDA,GEN,JSS,IND,10543,M,4,3,FALSE,FALSE,5.52,7848,4.11,56,,,3
AEMH100804,8,0,1995,KARDILE SHIVAJI BHANUDAS,,Maharashtra,AHMEDNAGAR NORTH,GEN,IND,,62552,M,1,4,FALSE,FALSE,41.33,26714,17.65,,,4,4
AEMH100804,9,0,1999,KARDILE SHIVAJI BHANUDAS,,Maharashtra,AHMEDNAGAR NORTH,GEN,IND,IND,63576,M,1,4,FALSE,TRUE,44.05,14014,9.71,,,4,4
AEMH100804,10,0,2004,KARDILE SHIVAJI BHANUDAS,GEN,Maharashtra,AHMEDNAGAR NORTH,GEN,NCP,IND,76436,M,1,4,FALSE,TRUE,42.49,31845,17.7,46,,4,4
AEMH100804,11,0,2009,KARDILE SHIVAJI BHANUDAS,GEN,Maharashtra,RAHURI,GEN,BJP,NCP,57380,M,1,4,TRUE,TRUE,33.55,8333,4.87,51,,4,4
AEMH100885,8,0,1995,VIKHE RADHKRISHNA EKNATH RAO,,Maharashtra,SHIRDI,GEN,INC,,65516,M,1,5,FALSE,FALSE,60.2,30461,27.99,,,4,4
AEMH100885,8,1,1997,Vikhe Radhakrishna Eknathrao,,Maharashtra,SHIRDI,GEN,SHS,INC,58557,M,1,5,TRUE,TRUE,56.21,13989,13.43,,,4,4
AEMH100885,9,0,1999,RADHAKHRUSHNA EKNATHRAO VIKHE,,Maharashtra,SHIRDI,GEN,SHS,SHS,50799,M,1,5,FALSE,TRUE,48.7,13400,12.85,,,4,4
AEMH100885,10,0,2004,VIKHE PATIL RADHAKRISHNA EKNATH RAO,GEN,Maharashtra,SHIRDI,GEN,INC,SHS,95204,M,1,5,TRUE,TRUE,79.71,70967,59.42,46,,4,4
AEMH100885,11,0,2009,PATIL VIKHE RADHAKRISHNA EKNATHRAO,GEN,Maharashtra,SHIRDI,GEN,INC,INC,80301,M,1,5,FALSE,TRUE,52.72,13309,8.74,51,,4,4
AEMH100937,8,0,1995,ZAWARE PATIL VASANTRAO KRUSHNARAO,,Maharashtra,PARNER,GEN,INC,,28886,M,1,3,FALSE,FALSE,25.75,6562,5.85,,,2,3
AEMH100937,9,0,1999,ZAWARE PATIL VASANTRAO. KRU.,,Maharashtra,PARNER,GEN,NCP,INC,30333,M,1,3,TRUE,TRUE,32.41,8537,9.12,,,2,3
AEMH100937,11,0,2009,ZAWARE PATIL VASANTRAO KRUSHNARAO,GEN,Maharashtra,PARNER,GEN,IND,NCP,48515,M,2,3,FALSE,FALSE,28.92,25971,15.48,66,,2,3
AEMH100959,7,0,1990,BHANGARE ASHOK YASHWANT,,Maharashtra,NAGAR-AKOLA,ST,JD,,34539,M,2,5,FALSE,FALSE,34.35,30607,30.44,,,,5
AEMH100959,8,0,1995,BHANGARE ASHOK YASHWANT,,Maharashtra,NAGAR-AKOLA,ST,IND,JD,44726,M,2,5,FALSE,FALSE,31.55,38174,26.93,,,,5
AEMH100959,9,0,1999,BHANGARE ASHOK YASHWANTRAO,,Maharashtra,NAGAR-AKOLA,ST,INC,IND,43107,M,2,5,FALSE,FALSE,37.99,18935,16.69,,,,5
AEMH100959,10,0,2004,ASHOK YASHWANT BHANGARE,ST,Maharashtra,NAGAR-AKOLA,ST,SHS,INC,68485,M,2,5,TRUE,FALSE,44.77,63421,41.46,40,,,5
AEMH100959,11,0,2009,ASHOK YASHWANT BHANGRE,ST,Maharashtra,AKOLE,ST,IND,SHS,17016,M,3,5,FALSE,FALSE,12.4,9561,6.97,45,,,5
AEMH101119,8,0,1995,GIRISH BAPAT,,Maharashtra,KASBA PETH,GEN,BJP,,53043,M,1,4,FALSE,FALSE,58.31,20760,22.82,,,4,4
AEMH101119,9,0,1999,BAPAT GIRISH,,Maharashtra,KASBA PETH,GEN,BJP,BJP,39419,M,1,4,FALSE,TRUE,54.65,20168,27.96,,,4,4
AEMH101119,10,0,2004,GIRISH BAPAT,GEN,Maharashtra,KASBA PETH,GEN,BJP,BJP,38160,M,1,4,FALSE,TRUE,55.81,9618,14.07,54,,4,4
AEMH101119,11,0,2009,GIRISH BAPAT,GEN,Maharashtra,KASBA PETH,GEN,BJP,BJP,54982,M,1,4,FALSE,TRUE,35.34,8162,5.25,59,,4,4
AEMH101183,8,0,1995,PACHARNE BABURAO KASHINATH,,Maharashtra,SHIRUR,GEN,IND,,36219,M,2,4,FALSE,FALSE,30.21,15988,13.34,,,1,4
AEMH101183,9,0,1999,PACHRNE BABURAO KASHINATH,,Maharashtra,SHIRUR,GEN,INC,IND,33930,M,2,4,FALSE,FALSE,33.43,9343,9.21,,,1,4
AEMH101183,10,0,2004,BABURAO KASHINATH PACHARNE,GEN,Maharashtra,SHIRUR,GEN,BJP,INC,70601,M,1,4,TRUE,FALSE,49.12,9560,6.65,52,,1,4
AEMH101183,11,0,2009,BABURAO KASHINATH PACHARNE,GEN,Maharashtra,SHIRUR,GEN,IND,BJP,46369,M,2,4,FALSE,TRUE,25.3,8373,4.57,57,,1,4
AEMH101203,8,0,1995,PATIL HARSHWADHAN SHAHATI RAO,,Maharashtra,INDAPUR,GEN,IND,,59125,M,1,4,FALSE,FALSE,39.1,11176,7.39,,,4,4
AEMH101203,9,0,1999,PATIL HARSHWARDHAN SHAHAJIRAO,,Maharashtra,INDAPUR,GEN,IND,IND,64840,M,1,4,FALSE,TRUE,49.73,26942,20.66,,,4,4
